genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
genre fiction,"Amazon Digital Services,  Inc.",231.462,231.462,1157.31,694.386,1169,(Small or Medium Publisher),small/medium,4.76,0.99,89,34
genre fiction,"Amazon Digital Services,  Inc.",231.462,231.462,1157.31,694.386,1169,(Small or Medium Publisher),small/medium,4.33,0.99,89,21
genre fiction,"Amazon Digital Services,  Inc.",722.6505,389.1195,1111.77,0.0,1123,(Indie Publisher),indie,4.5,0.99,92,63
genre fiction,"Amazon Digital Services,  Inc.",1120.754,1120.754,5603.77,3362.262,1123,(Small or Medium Publisher),small/medium,4.64,4.99,92,19837
genre fiction,Macmillan,440.586,440.586,2202.93,1321.758,1107,St. Martin's Press,big five,4.06,1.99,93,1060
genre fiction,Random House LLC,1396.648,1396.648,6983.24,4189.944,1076,Doubleday,big five,3.91,6.49,95,13060
genre fiction,Random House LLC,1377.178,1377.178,6885.89,4131.534,1061,Bantam,big five,4.16,6.49,96,1223
nonfiction,"Amazon Digital Services,  Inc.",207.108,207.108,1035.54,621.324,1046,(Small or Medium Publisher),small/medium,4.27,0.99,97,81
genre fiction,"Amazon Digital Services,  Inc.",662.805,356.895,1019.7,0.0,1030,(Indie Publisher),indie,4.62,0.99,98,381
genre fiction,"Amazon Digital Services,  Inc.",1823.955,4255.895,6079.85,0.0,1015,(Indie Publisher),indie,4.58,5.99,99,168
genre fiction,Penguin Group (USA) LLC,1386.49,1386.49,6932.45,4159.47,1015,Razorbill,big five,4.45,6.83,99,722
genre fiction,"Amazon Digital Services,  Inc.",640.2825,344.7675,985.05,0.0,995,(Indie Publisher),indie,4.45,0.99,101,507
genre fiction,Penguin Group (USA) LLC,1013.76,1013.76,5068.8,3041.28,990,Berkley,big five,4.73,5.12,102,288
fiction,"Amazon Digital Services,  Inc.",439.04,439.04,2195.2,1317.12,980,(Small or Medium Publisher),small/medium,3.62,2.24,104,224
genre fiction,Hachette Book Group,1462.5,1462.5,7312.5,4387.5,975,"Little, Brown and Company",big five,3.6,7.5,105,2062
genre fiction,"Amazon Digital Services,  Inc.",624.195,336.105,960.3,0.0,970,(Indie Publisher),indie,4.0,0.99,106,3
genre fiction,Penguin Group (USA) LLC,2044.8,2044.8,10224.0,6134.4,960,Berkley,big five,4.58,10.65,108,36
genre fiction,Penguin Group (USA) LLC,1534.08,1534.08,7670.4,4602.24,960,Berkley,big five,0.0,7.99,108,0
genre fiction,"Amazon Digital Services,  Inc.",1222.3575,658.1925,1880.55,0.0,945,Montlake Romance,amazon,4.38,1.99,111,93
genre fiction,Macmillan,938.12,938.12,4690.6,2814.36,940,St. Martin's Press,big five,4.37,4.99,112,901
genre fiction,Penguin Group (USA) LLC,746.13,746.13,3730.65,2238.39,935,InterMix,big five,4.0,3.99,113,208
genre fiction,"Amazon Digital Services,  Inc.",1202.955,647.745,1850.7,0.0,930,(Indie Publisher),indie,4.19,1.99,114,87
genre fiction,"Amazon Digital Services,  Inc.",1196.0,1196.0,5980.0,3588.0,920,(Small or Medium Publisher),small/medium,4.64,6.5,116,13290
genre fiction,Random House LLC,181.17,181.17,905.85,543.51,915,Loveswept,big five,4.33,0.99,117,24
fiction,"Amazon Digital Services,  Inc.",1551.84,1551.84,7759.2,4655.52,915,(Small or Medium Publisher),small/medium,3.82,8.48,117,388
genre fiction,"Amazon Digital Services,  Inc.",585.585,315.315,900.9,0.0,910,(Indie Publisher),indie,4.84,0.99,118,197
genre fiction,"Amazon Digital Services,  Inc.",179.19,179.19,895.95,537.57,905,(Single-Author Publisher),single author,4.68,0.99,119,219
genre fiction,"Amazon Digital Services,  Inc.",579.15,311.85,891.0,0.0,900,(Indie Publisher),indie,4.3,0.99,120,20
nonfiction,Macmillan,1168.2,1168.2,5841.0,3504.6,900,Henry Holt and Co.,big five,4.32,6.49,120,4549
nonfiction,Random House LLC,2146.21,2146.21,10731.05,6438.63,895,Knopf,big five,4.24,11.99,121,384
genre fiction,"Amazon Digital Services,  Inc.",798.33,1862.77,2661.1,0.0,890,(Indie Publisher),indie,5.0,2.99,122,39
fiction,HarperCollins Publishers,354.22,354.22,1771.1,1062.66,890,HarperCollins e-books,big five,4.23,1.99,122,152
genre fiction,"Amazon Digital Services,  Inc.",1059.345,2471.805,3531.15,0.0,885,(Indie Publisher),indie,4.61,3.99,123,218
genre fiction,Simon and Schuster Digital Sales Inc,1305.0,1305.0,6525.0,3915.0,870,Scribner,big five,4.58,7.5,126,4938
genre fiction,"Amazon Digital Services,  Inc.",1035.405,2415.945,3451.35,0.0,865,(Indie Publisher),indie,4.49,3.99,127,100
genre fiction,Random House LLC,1374.28,1374.28,6871.4,4122.84,860,Vintage,big five,4.29,7.99,128,9263
genre fiction,"Amazon Digital Services,  Inc.",168.3,168.3,841.5,504.9,850,(Single-Author Publisher),single author,0.0,0.99,130,0
genre fiction,Hachette Book Group,2026.31,2026.31,10131.55,6078.93,845,"Little, Brown and Company",big five,4.34,11.99,131,20
genre fiction,Random House LLC,1342.32,1342.32,6711.6,4026.96,840,Vintage,big five,4.28,7.99,132,9263
genre fiction,"Amazon Digital Services,  Inc.",530.8875,285.8625,816.75,0.0,825,(Indie Publisher),indie,4.04,0.99,135,234
nonfiction,HarperCollins Publishers,328.35,328.35,1641.75,985.05,825,Harper,big five,4.31,1.99,135,271
nonfiction,Random House LLC,1139.37,1139.37,5696.85,3418.11,815,Random House,big five,4.77,6.99,137,6544
genre fiction,"Amazon Digital Services,  Inc.",726.57,1695.33,2421.9,0.0,810,(Indie Publisher),indie,4.77,2.99,138,61
genre fiction,Penguin Group (USA) LLC,1714.65,1714.65,8573.25,5143.95,805,Putnam Adult,big five,4.16,10.65,139,251
genre fiction,"Amazon Digital Services,  Inc.",957.6,2234.4,3192.0,0.0,800,(Indie Publisher),indie,4.78,3.99,140,1325
genre fiction,"Amazon Digital Services,  Inc.",158.4,158.4,792.0,475.2,800,(Small or Medium Publisher),small/medium,4.87,0.99,140,221
genre fiction,"Amazon Digital Services,  Inc.",951.615,2220.435,3172.05,0.0,795,(Indie Publisher),indie,4.79,3.99,141,78
nonfiction,"Amazon Digital Services,  Inc.",314.42,314.42,1572.1,943.26,790,(Small or Medium Publisher),small/medium,3.4,1.99,142,5
genre fiction,Penguin Group (USA) LLC,1882.43,1882.43,9412.15,5647.29,785,Putnam Adult,big five,0.0,11.99,143,0
genre fiction,"Amazon Digital Services,  Inc.",933.66,2178.54,3112.2,0.0,780,(Indie Publisher),indie,5.0,3.99,144,31
genre fiction,Simon and Schuster Digital Sales Inc,1653.85,1653.85,8269.25,4961.55,775,Margaret K. McElderry Books,big five,0.0,10.67,145,0
genre fiction,HarperCollins Publishers,302.48,302.48,1512.4,907.44,760,HarperCollins e-books,big five,4.04,1.99,148,305
genre fiction,"Amazon Digital Services,  Inc.",903.735,2108.715,3012.45,0.0,755,(Indie Publisher),indie,4.69,3.99,149,225
genre fiction,"Amazon Digital Services,  Inc.",2432.625,1309.875,3742.5,0.0,750,Montlake Romance,amazon,4.1,4.99,150,683
genre fiction,"Amazon Digital Services,  Inc.",1945.125,1047.375,2992.5,0.0,750,Amazon Publishing,amazon,4.28,3.99,150,1206
genre fiction,Random House LLC,743.51,743.51,3717.55,2230.53,745,Dell,big five,4.14,4.99,151,6312
genre fiction,Macmillan,590.52,590.52,2952.6,1771.56,740,Tor Books,big five,4.56,3.99,152,7381
genre fiction,"Amazon Digital Services,  Inc.",472.9725,254.6775,727.65,0.0,735,(Indie Publisher),indie,3.72,0.99,153,81
genre fiction,"Amazon Digital Services,  Inc.",2367.755,1274.945,3642.7,0.0,730,Montlake Romance,amazon,4.35,4.99,154,119
genre fiction,Random House LLC,1088.95,1088.95,5444.75,3266.85,725,Broadway Books,big five,4.17,7.51,155,1998
genre fiction,"Amazon Digital Services,  Inc.",463.32,249.48,712.8,0.0,720,(Indie Publisher),indie,4.31,0.99,156,203
genre fiction,"Amazon Digital Services,  Inc.",456.885,246.015,702.9,0.0,710,(Indie Publisher),indie,4.29,0.99,158,1106
genre fiction,"Amazon Digital Services,  Inc.",139.59,139.59,697.95,418.77,705,(Small or Medium Publisher),small/medium,4.17,0.99,159,204
genre fiction,Hachette Book Group,1118.6,1118.6,5593.0,3355.8,700,Reagan Arthur Books,big five,3.6,7.99,160,1783
genre fiction,HarperCollins Publishers,270.64,270.64,1353.2,811.92,680,HarperCollins e-books,big five,4.34,1.99,164,102
nonfiction,"Amazon Digital Services,  Inc.",133.65,133.65,668.25,400.95,675,(Small or Medium Publisher),small/medium,4.11,0.99,165,9
genre fiction,"Amazon Digital Services,  Inc.",735.66,735.66,3678.3,2206.98,670,(Small or Medium Publisher),small/medium,4.35,5.49,166,14
genre fiction,"Amazon Digital Services,  Inc.",131.67,131.67,658.35,395.01,665,(Small or Medium Publisher),small/medium,4.42,0.99,167,101
genre fiction,Random House LLC,1562.88,1562.88,7814.4,4688.64,660,Ballantine Books,big five,0.0,11.84,168,0
genre fiction,"Amazon Digital Services,  Inc.",421.4925,226.9575,648.45,0.0,655,(Indie Publisher),indie,4.5,0.99,169,10
genre fiction,Random House LLC,1963.69,1963.69,9818.45,5891.07,655,Vintage,big five,4.3,14.99,169,8339
genre fiction,"Amazon Digital Services,  Inc.",2108.275,1135.225,3243.5,0.0,650,Skyscape,amazon,4.42,4.99,170,1505
genre fiction,"Amazon Digital Services,  Inc.",583.05,1360.45,1943.5,0.0,650,(Indie Publisher),indie,4.29,2.99,170,96
genre fiction,"Amazon Digital Services,  Inc.",2092.0575,1126.4925,3218.55,0.0,645,47North,amazon,4.65,4.99,171,89
genre fiction,Random House LLC,894.72,894.72,4473.6,2684.16,640,Delacorte Press,big five,4.24,6.99,172,3806
genre fiction,Simon and Schuster Digital Sales Inc,1132.74,1132.74,5663.7,3398.22,630,Scribner,big five,4.41,8.99,174,5195
genre fiction,"Amazon Digital Services,  Inc.",395.7525,213.0975,608.85,0.0,615,(Indie Publisher),indie,4.5,0.99,177,20
genre fiction,"Amazon Digital Services,  Inc.",120.78,120.78,603.9,362.34,610,(Small or Medium Publisher),small/medium,4.63,0.99,178,22
genre fiction,"Amazon Digital Services,  Inc.",786.5,423.5,1210.0,0.0,605,Skyscape,amazon,4.11,2.0,179,1033
