genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
genre fiction,Random House LLC,1039.182,1039.182,5195.91,3117.546,453,Knopf,big five,4.74,11.47,228,99
nonfiction,"Amazon Digital Services,  Inc.",291.5055,156.9645,448.47,0.0,453,(Indie Publisher),indie,4.62,0.99,228,48
genre fiction,Penguin Group (USA) LLC,450.098,450.098,2250.49,1350.294,451,Penguin Books,big five,3.6,4.99,229,1517
genre fiction,Random House LLC,958.5,958.5,4792.5,2875.5,450,Del Rey,big five,4.65,10.65,230,123
genre fiction,Penguin Group (USA) LLC,954.24,954.24,4771.2,2862.72,448,Dutton Adult,big five,4.66,10.65,231,75
genre fiction,"Amazon Digital Services,  Inc.",88.704,88.704,443.52,266.112,448,(Single-Author Publisher),single author,4.87,0.99,231,47
genre fiction,Simon and Schuster Digital Sales Inc,264.914,264.914,1324.57,794.742,443,Gallery Books,big five,4.75,2.99,234,468
genre fiction,Random House LLC,1762.236,1762.236,8811.18,5286.708,441,Bantam,big five,4.51,19.98,235,1092
genre fiction,Random House LLC,435.128,435.128,2175.64,1305.384,436,Bantam,big five,4.44,4.99,238,4874
genre fiction,"Amazon Digital Services,  Inc.",279.9225,150.7275,430.65,0.0,435,(Indie Publisher),indie,4.08,0.99,239,117
genre fiction,Penguin Group (USA) LLC,1038.334,1038.334,5191.67,3115.002,433,Putnam Adult,big five,5.0,11.99,240,1
genre fiction,Hachette Book Group,518.734,518.734,2593.67,1556.202,433,"Little, Brown and Company",big five,4.27,5.99,240,2221
genre fiction,"Amazon Digital Services,  Inc.",85.338,85.338,426.69,256.014,431,(Small or Medium Publisher),small/medium,4.39,0.99,241,1436
genre fiction,Random House LLC,85.14,85.14,425.7,255.42,430,Dell,big five,3.43,0.99,242,442
genre fiction,Penguin Group (USA) LLC,1021.548,1021.548,5107.74,3064.644,426,Roc,big five,0.0,11.99,244,0
genre fiction,"Amazon Digital Services,  Inc.",764.244,764.244,3821.22,2292.732,426,(Small or Medium Publisher),small/medium,4.57,8.97,244,154
genre fiction,Macmillan,84.15,84.15,420.75,252.45,425,Entangled: Brazen,big five,4.64,0.99,245,223
genre fiction,"Amazon Digital Services,  Inc.",506.331,1181.439,1687.77,0.0,423,(Indie Publisher),indie,4.39,3.99,246,137
nonfiction,Random House LLC,894.6,894.6,4473.0,2683.8,420,Knopf,big five,4.16,10.65,248,42
genre fiction,Macmillan,82.764,82.764,413.82,248.292,418,Entangled: Brazen,big five,4.45,0.99,249,55
nonfiction,"Amazon Digital Services,  Inc.",267.696,144.144,411.84,0.0,416,(Indie Publisher),indie,4.67,0.99,250,246
genre fiction,Random House LLC,414.17,414.17,2070.85,1242.51,415,Bantam,big five,3.69,4.99,251,5429
genre fiction,"Amazon Digital Services,  Inc.",507.58,507.58,2537.9,1522.74,410,(Small or Medium Publisher),small/medium,4.36,6.19,254,47
genre fiction,"Amazon Digital Services,  Inc.",365.976,853.944,1219.92,0.0,408,(Indie Publisher),indie,4.9,2.99,255,11
genre fiction,"Amazon Digital Services,  Inc.",337.008,337.008,1685.04,1011.024,408,(Small or Medium Publisher),small/medium,4.28,4.13,255,4511
nonfiction,Random House LLC,405.188,405.188,2025.94,1215.564,406,Vintage,big five,4.2,4.99,256,3452
nonfiction,"Amazon Digital Services,  Inc.",450.36,450.36,2251.8,1351.08,405,(Small or Medium Publisher),small/medium,4.31,5.56,257,19
genre fiction,HarperCollins Publishers,201.5,201.5,1007.5,604.5,403,William Morrow Paperbacks,big five,4.45,2.5,258,1594
genre fiction,Penguin Group (USA) LLC,854.13,854.13,4270.65,2562.39,401,Putnam Adult,big five,4.57,10.65,259,7
genre fiction,Penguin Group (USA) LLC,636.004,636.004,3180.02,1908.012,398,NAL,big five,4.62,7.99,261,45
genre fiction,"Amazon Digital Services,  Inc.",78.408,78.408,392.04,235.224,396,(Small or Medium Publisher),small/medium,4.52,0.99,262,698
genre fiction,"Amazon Digital Services,  Inc.",78.408,78.408,392.04,235.224,396,(Small or Medium Publisher),small/medium,4.04,0.99,262,69
genre fiction,"Amazon Digital Services,  Inc.",77.418,77.418,387.09,232.254,391,(Single-Author Publisher),single author,4.46,0.99,265,147
nonfiction,Hachette Book Group,545.22,545.22,2726.1,1635.66,390,"Little, Brown and Company",big five,4.59,6.99,266,1104
nonfiction,Macmillan,230.828,230.828,1154.14,692.484,386,"Farrar, Straus and Giroux",big five,4.42,2.99,268,909
genre fiction,Random House LLC,153.23,153.23,766.15,459.69,385,Anchor,big five,4.68,1.99,269,1636
genre fiction,Penguin Group (USA) LLC,612.034,612.034,3060.17,1836.102,383,Berkley,big five,4.3,7.99,270,20
genre fiction,"Amazon Digital Services,  Inc.",492.8235,265.3665,758.19,0.0,381,AmazonCrossing,amazon,4.0,1.99,271,224
